"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Hansi,50,GEN,Hisar,Vinod Bhayana,Bharatiya Janta Party,204437,141911,69.4 %,21460,15.1%
Hathin,82,GEN,Palwal,Mohd Israil,Indian National Congress,242080,187806,77.6 %,32396,17.2%
Hisar,52,GEN,Hisar,Savitri Jindal,Independent,182291,112073,61.5 %,18941,16.9%
Hodal,83,SC,Palwal,Harinder Singh,Bharatiya Janta Party,198226,140753,71.0 %,2595,1.8%
Indri,20,GEN,Karnal,Ram Kumar Kashyap,Bharatiya Janta Party,219216,156149,71.2 %,15149,9.7%
Israna,26,SC,Panipat,Krishan Lal Panwar,Bharatiya Janta Party,184454,129367,70.1 %,13895,10.7%
Jagadhri,8,GEN,Yamunanagar,Akram Khan,Indian National Congress,234247,182283,77.8 %,6868,3.8%
Jhajjar,66,SC,Jhajjar,Geeta Bhukkal,Indian National Congress,193669,123192,63.6 %,13555,11.0%
Jind,36,GEN,Jind,Dr Krishan Lal Middha,Bharatiya Janta Party,204590,134689,65.8 %,15860,11.8%
Julana,34,GEN,Jind,Vinesh,Indian National Congress,186417,138669,74.4 %,6015,4.3%
